timestamp,current_ma,brightness,avg_cpu_freq
1768408950,615,4,790000
1768408951,167,4,790000
1768408952,179,4,732500
1768408953,293,4,635000
1768408954,271,4,578750
1768408955,264,4,537500
1768408956,430,4,1662500
1768408957,269,4,537500
1768408958,248,4,1025000
1768408959,222,4,837500
1768408960,216,4,650000
1768408961,260,4,650000
1768408962,177,4,537500
1768408963,173,4,537500
1768408964,192,4,537500
1768408965,156,4,537500
1768408966,185,4,537500
1768408967,162,4,537500
1768408968,340,4,1040000
1768408969,300,4,537500
1768408970,275,4,537500
1768408971,179,4,537500
1768408972,179,4,537500
1768408973,188,4,537500
1768408974,173,4,537500
1768408975,176,4,537500
1768408976,266,4,537500
1768408977,207,4,537500
1768408978,219,4,537500
1768408979,219,4,537500
1768408980,182,4,537500
1768408981,174,4,537500
1768408982,234,4,537500
1768408983,209,4,537500
1768408984,748,4,1915000
1768408985,502,4,970000
1768408986,270,4,537500
1768408987,147,4,537500
1768408988,269,4,537500
1768408989,366,4,537500
1768408990,177,4,537500
1768408991,170,4,706250
1768408992,370,4,537500
1768408993,156,4,537500
1768408994,275,4,537500
1768408995,248,4,537500
1768408996,203,4,537500
1768408997,176,4,537500
1768408998,412,4,537500
1768408999,230,4,537500
1768409000,252,4,537500
1768409001,221,4,537500
1768409002,285,4,537500
1768409003,179,4,537500
1768409004,147,4,537500
1768409005,457,4,790000
1768409006,171,4,537500
1768409007,164,4,537500
1768409008,457,4,537500
1768409009,239,4,537500
1768409010,195,4,537500
1768409011,174,4,537500
1768409012,152,4,537500
1768409013,180,4,537500
1768409014,158,4,537500
1768409015,391,4,837500
1768409016,252,4,537500
1768409017,237,4,537500
1768409018,593,4,726250
1768409019,306,4,537500
1768409020,159,4,537500
1768409021,285,4,537500
1768409022,167,4,537500
1768409023,252,4,537500
1768409024,387,4,837500
1768409025,264,4,790000
1768409026,167,4,537500
1768409027,312,4,537500
1768409028,216,4,537500
1768409029,312,4,537500
1768409030,198,4,537500
1768409031,173,4,537500
1768409032,165,4,537500
1768409033,188,4,537500
1768409034,213,4,537500
1768409035,245,4,537500
1768409036,249,4,537500
1768409037,168,4,537500
1768409038,192,4,650000
1768409039,224,4,537500
1768409040,146,4,537500
1768409041,325,4,537500
1768409042,182,4,537500
1768409043,171,4,537500
1768409044,194,4,537500
1768409045,162,4,537500
1768409046,192,4,537500
1768409047,324,4,537500
1768409048,441,4,790000
1768409049,215,4,537500
1768409050,271,4,537500
1768409051,206,4,537500
1768409052,227,4,537500
1768409053,171,4,537500
1768409054,177,4,537500
1768409055,171,4,537500
1768409056,165,4,537500
1768409057,216,4,537500
1768409058,319,4,537500
1768409060,195,4,537500
1768409061,167,4,537500
1768409062,372,4,537500
1768409063,167,4,537500
1768409064,182,4,537500
1768409065,180,4,537500
1768409066,192,4,537500
1768409067,206,4,537500
1768409068,331,4,537500
1768409069,218,4,537500
1768409070,209,4,537500
1768409071,192,4,537500
1768409072,141,4,537500
1768409073,198,4,537500
1768409074,183,4,537500
1768409075,182,4,537500
1768409076,212,4,537500
1768409077,173,4,537500
1768409078,225,4,612500
1768409079,399,4,537500
1768409080,194,4,537500
1768409081,188,4,537500
1768409082,146,4,537500
1768409083,206,4,537500
1768409084,203,4,537500
1768409085,167,4,537500
1768409086,222,4,537500
1768409087,376,4,954125
1768409088,269,4,537500
1768409089,249,4,537500
1768409090,207,4,537500
1768409091,168,4,537500
1768409092,412,4,1915000
1768409093,167,4,537500
1768409094,266,4,537500
1768409095,188,4,537500
1768409096,245,4,537500
1768409097,186,4,537500
1768409098,269,4,537500
1768409099,207,4,537500
1768409100,330,4,537500
1768409101,165,4,537500
1768409102,218,4,537500
1768409103,152,4,537500
1768409104,186,4,537500
1768409105,176,4,537500
1768409106,177,4,537500
1768409107,264,4,537500
1768409108,209,4,537500
1768409109,424,4,1662500
1768409110,644,4,1852875
1768409111,379,4,883750
1768409112,203,4,537500
1768409113,264,4,537500
1768409114,254,4,537500
1768409115,188,4,537500
1768409116,239,4,775000
1768409117,203,4,537500
1768409118,176,4,537500
1768409119,352,4,537500
1768409120,290,4,537500
1768409121,275,4,575000
1768409122,203,4,537500
1768409123,204,4,537500
1768409124,171,4,537500
1768409125,310,4,537500
1768409126,177,4,537500
1768409127,186,4,537500
1768409128,170,4,537500
1768409129,249,4,537500
1768409130,239,4,537500
1768409131,150,4,537500
1768409132,174,4,537500
1768409133,177,4,537500
1768409134,137,4,537500
1768409135,182,4,537500
1768409136,315,4,537500
1768409137,252,4,537500
1768409139,204,4,537500
1768409140,218,4,537500
1768409141,304,4,593750
1768409142,254,4,537500
1768409143,218,4,537500
1768409144,255,4,537500
1768409145,177,4,537500
1768409146,170,4,537500
1768409147,152,4,537500
1768409148,280,4,537500
1768409149,254,4,537500
1768409150,231,4,537500
1768409151,203,4,537500
1768409152,167,4,537500
1768409153,165,4,537500
1768409154,224,4,836250
1768409155,173,4,650000
1768409156,215,4,537500
1768409157,171,4,537500
1768409158,182,4,537500
1768409159,218,4,537500
1768409160,300,4,537500
1768409161,162,4,537500
1768409162,164,4,537500
1768409163,276,4,537500
1768409164,228,4,537500
1768409165,167,4,537500
1768409166,156,4,537500
1768409167,177,4,537500
1768409168,177,4,537500
1768409169,738,4,1915000
1768409170,222,4,537500
1768409171,152,4,837500
1768409172,170,4,537500
1768409173,551,4,1470250
1768409174,173,4,537500
1768409175,254,4,537500
1768409176,260,4,537500
1768409177,303,4,1277500
1768409178,197,4,537500
1768409179,1045,4,1915000
1768409180,360,4,537500
1768409181,177,4,537500
1768409182,183,4,537500
1768409183,258,4,537500
1768409184,478,4,1505125
1768409185,173,4,556250
1768409186,279,4,537500
1768409187,218,4,952250
1768409188,248,4,537500
1768409189,182,4,537500
1768409190,420,4,537500
1768409191,251,4,537500
1768409192,322,4,612500
1768409193,1197,199,2109375
1768409194,1507,2807,2150000
1768409195,632,3515,2150000
1768409196,1393,3515,2150000
1768409197,1523,3515,2150000
1768409198,704,3515,1601625
1768409199,600,3515,1270000
1768409200,617,3515,651250
1768409201,321,3515,1397500
1768409202,1385,3515,1500375
1768409203,463,3515,1330750
1768409204,280,3515,537500
1768409205,271,3515,537500
1768409206,400,3515,537500
1768409207,364,3515,537500
1768409208,134,3515,537500
1768409209,212,3515,1159000
1768409210,195,3515,788250
1768409211,155,3515,537500
1768409212,382,3515,537500
1768409213,156,3515,537500
1768409214,79,3515,537500
1768409215,243,3515,1397500
1768409216,219,3515,537500
1768409217,378,3515,847500
1768409218,282,3515,537500
1768409219,325,3515,537500
1768409220,315,3515,537500
1768409221,325,3515,1397500
1768409222,1365,3515,2150000
1768409223,959,3515,1043750
1768409224,607,3515,1141625
1768409225,463,3515,537500
1768409226,1356,3515,1058750
1768409227,1042,3515,1392500
1768409228,497,3515,650000
1768409229,502,3515,537500
1768409230,1309,3515,1815000
1768409231,497,3515,537500
1768409232,612,3515,537500
1768409233,502,3515,537500
1768409234,565,3515,537500
1768409235,473,3515,537500
1768409236,494,3515,537500
1768409237,573,3515,537500
1768409238,536,3515,537500
1768409239,550,3515,537500
1768409240,497,3515,537500
1768409241,795,3515,1325000
1768409242,590,3515,537500
1768409243,503,3515,537500
1768409244,530,3515,537500
1768409245,767,3515,1756625
1768409246,508,3515,537500
1768409247,476,3515,537500
1768409249,508,3515,537500
1768409250,565,3515,537500
1768409251,490,3515,537500
1768409252,590,3515,537500
1768409253,497,3515,537500
1768409254,611,3515,1662500
1768409255,571,3515,1662500
1768409256,645,3515,1332500
1768409257,588,3515,537500
1768409258,548,3515,623750
1768409259,569,3515,537500
1768409260,559,3515,1025000
1768409261,503,3515,537500
1768409262,535,3515,537500
1768409263,532,3515,537500
1768409264,539,3515,537500
1768409265,596,3515,537500
1768409266,1451,3515,1512500
1768409267,509,3515,537500
1768409268,500,3515,537500
1768409269,1315,3515,1087500
1768409270,538,3515,537500
1768409271,509,3515,650000
1768409272,959,3515,912500
1768409273,559,3515,650000
1768409274,488,3515,537500
1768409275,511,3515,537500
1768409276,503,3515,587500
1768409277,485,3515,537500
1768409278,523,3515,537500
1768409279,554,3515,537500
1768409280,493,3515,537500
